age,job,marital,education,default,housing,loan,contact,duration,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor_3m,nr_employed,y,date,latitude,longitude,id,default_str,housing_str,loan_str,contact_month,contact_year,pdays_clean,pdays_label
57.0,housemaid,divorced,basic_4y,False,True,False,telephone,293,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2015-08-25,28.873,-70.852,54b1ea8a_a909_45d9_9562_775b64ac9c29,no,yes,no,august,2015.0,,sin contacto previo
35.0,blue_collar,married,basic_6y,False,True,False,telephone,146,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2016-09-19,36.188,-109.835,3a7b7570_aba9_40bc_9f80_3433d064b5b7,no,yes,no,september,2016.0,,sin contacto previo
54.0,retired,married,basic_9y,unknown,True,True,telephone,174,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2016-01-03,41.311,-75.496,c93f0774_c122_421b_ac44_2041dcc43609,,yes,yes,january,2016.0,,sin contacto previo
35.0,blue_collar,married,basic_6y,False,True,False,telephone,312,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2018-02-28,39.867,-91.016,8f63b4b2_6190_4fbe_a041_b0c472c596c7,no,yes,no,february,2018.0,,sin contacto previo
38.0,blue_collar,married,basic_6y,unknown,True,True,telephone,440,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2019-03-29,31.284,-76.228,714f78d0_c23e_40ff_b892_bfeacc4223f8,,yes,yes,march,2019.0,,sin contacto previo
50.0,blue_collar,married,basic_9y,False,True,True,telephone,353,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2018-10-25,39.231,-100.643,4b568fd1_8690_48a4_a1e5_7497bb533047,no,yes,yes,october,2018.0,,sin contacto previo
39.0,management,single,basic_9y,unknown,False,False,telephone,195,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2017-07-01,27.284,-69.955,74bf1569_4bdb_49e4_98ba_c1c607d90596,,no,no,july,2017.0,,sin contacto previo
30.0,unemployed,married,high_school,False,False,False,telephone,38,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2017-04-20,43.783,-70.925,e9170af6_b4f8_4700_b954_836f94372fd8,no,no,no,april,2017.0,,sin contacto previo
55.0,blue_collar,married,basic_4y,unknown,True,False,telephone,262,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2016-08-11,25.892,-92.643,47591c83_e88b_40c2_bb8e_de40b94a44cb,,yes,no,august,2016.0,,sin contacto previo
55.0,retired,single,high_school,False,True,False,telephone,342,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2019-12-24,35.978,-122.628,1c85ef8a_60a1_424d_804c_f712ccd612cc,no,yes,no,december,2019.0,,sin contacto previo
38.0,technician,single,high_school,False,True,False,telephone,181,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2015-06-10,37.337,-90.915,f480284a_908b_4575_9ce5_28b396d54e36,no,yes,no,june,2015.0,,sin contacto previo
37.0,admin_,married,high_school,False,True,False,telephone,172,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2017-05-19,39.448,-92.851,2a14bcd3_a981_45c2_ac76_79323567627c,no,yes,no,may,2017.0,,sin contacto previo
35.0,technician,married,university_degree,False,False,True,telephone,99,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2018-03-19,46.594,-78.17,c298253f_fcd6_45cb_a6b0_9815ec3e7c13,no,no,yes,march,2018.0,,sin contacto previo
38.0,technician,married,unknown,False,True,False,telephone,93,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2016-09-25,44.446,-74.218,cbf9c247_762f_40f9_a351_a7e686ac7488,no,yes,no,september,2016.0,,sin contacto previo
39.0,self_employed,married,basic_9y,unknown,False,False,telephone,233,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2016-11-23,43.028,-96.627,b4861606_8206_4f41_acd5_63b48d5596a1,,no,no,november,2016.0,,sin contacto previo
54.0,technician,single,university_degree,unknown,False,False,telephone,255,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2016-12-05,30.242,-67.276,f52b8aff_2bab_496e_9b18_95925894c0ed,,no,no,december,2016.0,,sin contacto previo
55.0,unknown,married,university_degree,unknown,unknown,unknown,telephone,362,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2015-07-01,47.472,-87.614,943bc97d_2618_4ba3_b2dc_5a3d1571446a,,,,july,2015.0,,sin contacto previo
46.0,admin_,married,unknown,False,False,False,telephone,348,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2019-12-20,46.952,-97.482,61bec99d_c1d2_4231_aa6a_37a002c9af42,no,no,no,december,2019.0,,sin contacto previo
59.0,technician,married,unknown,False,True,False,telephone,386,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2019-04-14,27.676,-74.451,9eaba08c_51a8_477f_93b6_ad65fb0b6f03,no,yes,no,april,2019.0,,sin contacto previo
49.0,blue_collar,married,unknown,False,False,False,telephone,73,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2019-01-04,49.316,-91.441,69cb4917_d4e6_456f_a840_c5c411bac44c,no,no,no,january,2019.0,,sin contacto previo
54.0,management,married,basic_4y,unknown,True,False,telephone,230,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2019-10-05,48.792,-87.676,a028192c_3c95_4935_aa95_06515e5fd38d,,yes,no,october,2019.0,,sin contacto previo
38.0,blue_collar,divorced,basic_4y,False,False,False,telephone,208,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2019-12-18,47.015,-88.913,ebf703d5_d980_47bc_a8eb_6de16260483f,no,no,no,december,2019.0,,sin contacto previo
55.0,unknown,married,basic_4y,unknown,True,False,telephone,336,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2018-02-11,49.107,-116.582,7aeeda6f_95df_402b_a8d8_817764f4dafe,,yes,no,february,2018.0,,sin contacto previo
34.0,services,married,high_school,False,False,False,telephone,365,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2019-10-17,46.714,-103.715,7c50f0e5_8fb1_41f3_a18a_20bd5fc9a3d9,no,no,no,october,2019.0,,sin contacto previo
52.0,technician,married,basic_9y,False,True,False,telephone,1666,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2015-12-11,29.214,-87.396,a7eb98b2_0163_4375_a6a5_40b5f2ce6428,no,yes,no,december,2015.0,,sin contacto previo
41.0,admin_,married,university_degree,False,True,False,telephone,577,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2019-04-26,24.874,-107.27,a9280a68_5b1e_448c_98c9_271eba3e4a30,no,yes,no,april,2019.0,,sin contacto previo
56.0,technician,married,basic_4y,False,True,False,telephone,137,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2017-04-23,36.539,-70.595,b1d3e69b_43f5_4983_ba00_37dcc3979e84,no,yes,no,april,2017.0,,sin contacto previo
58.0,management,unknown,university_degree,False,True,False,telephone,366,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2015-09-15,25.841,-83.067,e03dc123_10b3_42f2_9d18_c26a53c7a473,no,yes,no,september,2015.0,,sin contacto previo
32.0,entrepreneur,married,high_school,False,True,False,telephone,314,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2018-12-29,33.876,-117.423,41f0832d_fea4_47dc_81c3_ad5a528a2fb7,no,yes,no,december,2018.0,,sin contacto previo
38.0,admin_,single,professional_course,False,False,False,telephone,160,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2015-03-12,45.8,-93.786,dd9279a9_2d85_4f87_b87b_560f5224d46a,no,no,no,march,2015.0,,sin contacto previo
38.0,admin_,married,university_degree,False,False,True,telephone,212,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2019-06-06,24.925,-92.686,45576313_a078_48e8_803c_b5fec072ee53,no,no,yes,june,2019.0,,sin contacto previo
44.0,admin_,married,university_degree,unknown,True,False,telephone,188,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2015-01-05,37.511,-94.109,f2e69637_04fb_4d2d_813e_b15e061776e9,,yes,no,january,2015.0,,sin contacto previo
42.0,technician,single,professional_course,unknown,False,False,telephone,22,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2017-01-08,42.145,-108.433,01d47e8f_32e7_4fd8_8188_2761a09f42bb,,no,no,january,2017.0,,sin contacto previo
57.0,admin_,married,university_degree,False,True,True,telephone,616,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2016-10-15,33.318,-77.7,170ae51e_abde_4832_a157_f1bf0f630e83,no,yes,yes,october,2016.0,,sin contacto previo
40.0,blue_collar,married,basic_9y,False,False,True,telephone,178,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2017-08-15,36.269,-117.853,6beb1eea_2343_42c1_9881_378c64cf08e5,no,no,yes,august,2017.0,,sin contacto previo
35.0,admin_,married,university_degree,False,True,False,telephone,355,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2015-12-19,27.521,-88.316,6155f7ed_fc77_4de5_8f66_386c9a85d74a,no,yes,no,december,2015.0,,sin contacto previo
45.0,blue_collar,married,basic_9y,False,True,False,telephone,225,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2018-05-15,47.71,-91.255,652ef647_2ee2_4afd_8cd1_105ff08b9dfb,no,yes,no,may,2018.0,,sin contacto previo
54.0,admin_,married,high_school,False,False,False,telephone,160,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2019-05-23,25.729,-90.585,89d515a3_7191_4a7c_b166_692bd3eb0e2e,no,no,no,may,2019.0,,sin contacto previo
39.0,housemaid,married,basic_4y,False,False,True,telephone,266,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2015-10-02,24.802,-71.158,d43355a7_b518_46f4_8713_b9daba3e586f,no,no,yes,october,2015.0,,sin contacto previo
60.0,admin_,married,high_school,False,False,False,telephone,253,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2019-07-20,24.541,-83.412,b575bf38_fde5_4980_a253_e5d2a7c6622d,no,no,no,july,2019.0,,sin contacto previo
38.0,admin_,single,professional_course,False,False,False,telephone,179,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2016-10-22,44.802,-106.795,fc488ebf_de25_4108_a5e0_881010bcb6db,no,no,no,october,2016.0,,sin contacto previo
55.0,blue_collar,married,basic_4y,unknown,False,False,telephone,269,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2016-07-24,33.009,-115.68,a53d19c6_cc04_4e56_936c_2af714cb0691,,no,no,july,2016.0,,sin contacto previo
38.0,technician,married,professional_course,unknown,True,False,telephone,135,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2017-02-04,34.004,-99.004,b49bf23e_16c4_4e10_8bad_cff8277af141,,yes,no,february,2017.0,,sin contacto previo
50.0,management,married,university_degree,unknown,False,True,telephone,161,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2018-12-03,45.639,-90.524,3cd59535_e982_46ec_8bdb_5540b42f98c7,,no,yes,december,2018.0,,sin contacto previo
45.0,services,married,high_school,unknown,True,False,telephone,787,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2018-11-16,44.358,-88.987,b9e57bd9_32b6_48db_be0b_399968bb4458,,yes,no,november,2018.0,,sin contacto previo
55.0,unemployed,married,professional_course,unknown,True,True,telephone,145,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2018-08-08,32.791,-93.839,c70bda4e_ab87_48ad_a248_c654a465ba18,,yes,yes,august,2018.0,,sin contacto previo
25.0,technician,single,university_degree,False,True,False,telephone,174,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2018-11-22,25.291,-113.185,df2754f0_ab9d_4392_969f_255be30bcf95,no,yes,no,november,2018.0,,sin contacto previo
38.0,entrepreneur,married,university_degree,unknown,False,False,telephone,449,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2016-01-13,24.665,-117.482,4c4427bf_a4b4_4127_a461_a0db67bb5508,,no,no,january,2016.0,,sin contacto previo
51.0,blue_collar,married,basic_9y,False,True,False,telephone,812,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2015-04-15,46.189,-86.233,356fc69e_a248_4af2_ae28_c2c8d3aa779d,no,yes,no,april,2015.0,,sin contacto previo
38.0,blue_collar,married,basic_6y,unknown,True,False,telephone,164,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2018-10-08,25.975,-93.643,7d2ddb31_a03d_45cf_8fdc_b35e6bbda707,,yes,no,october,2018.0,,sin contacto previo
42.0,blue_collar,married,basic_6y,unknown,False,False,telephone,366,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2017-09-30,39.95,-85.247,4d0f692b_c599_45a2_b496_3b4fb0ca3a41,,no,no,september,2017.0,,sin contacto previo
48.0,admin_,married,high_school,False,False,False,telephone,357,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2017-06-07,41.612,-124.248,d8ea4803_4a98_402e_a522_03302ef278b5,no,no,no,june,2017.0,,sin contacto previo
37.0,admin_,married,university_degree,False,False,False,telephone,232,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2019-10-26,33.968,-106.024,472c21b6_733b_448a_b97e_0899d471b051,no,no,no,october,2019.0,,sin contacto previo
38.0,blue_collar,single,basic_9y,False,True,False,telephone,91,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2019-10-07,45.432,-82.709,c2c2c999_1f3d_48ac_9a17_562777356f88,no,yes,no,october,2019.0,,sin contacto previo
38.0,admin_,married,unknown,False,True,False,telephone,273,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2019-03-29,39.012,-122.204,f9b67e3e_db2e_4089_85e1_df5462319653,no,yes,no,march,2019.0,,sin contacto previo
56.0,admin_,married,basic_9y,False,True,False,telephone,158,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2017-02-08,33.548,-123.247,ff8b1cfe_0ee6_4a62_ad9d_d602427107c7,no,yes,no,february,2017.0,,sin contacto previo
38.0,blue_collar,single,basic_4y,unknown,True,True,telephone,177,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2017-09-17,45.195,-67.229,c5bee864_d04c_4e58_a813_8239b67d6345,,yes,yes,september,2017.0,,sin contacto previo
41.0,management,married,basic_6y,False,False,False,telephone,200,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2018-10-24,39.804,-94.191,c9264446_deae_4147_87a6_7f6d53a50af0,no,no,no,october,2018.0,,sin contacto previo
44.0,management,divorced,university_degree,False,True,False,telephone,172,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2016-01-05,28.527,-77.464,5df79f8e_3ec3_48f9_bbff_b21447c79099,no,yes,no,january,2016.0,,sin contacto previo
47.0,admin_,married,university_degree,unknown,True,False,telephone,176,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2018-07-12,32.595,-83.523,6444da89_9436_4b09_ad38_159551c260e3,,yes,no,july,2018.0,,sin contacto previo
57.0,unknown,married,unknown,unknown,False,False,telephone,211,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2018-06-18,43.394,-79.522,6e4cd355_435a_4d7b_b2f5_92d64c706a05,,no,no,june,2018.0,,sin contacto previo
37.0,admin_,married,university_degree,unknown,True,False,telephone,214,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2015-01-22,32.349,-70.223,d3fd430a_83ab_48fb_ad0f_29219a273d56,,yes,no,january,2015.0,,sin contacto previo
41.0,blue_collar,divorced,basic_4y,unknown,True,False,telephone,1575,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,yes,2017-02-14,33.119,-78.718,52fe0cf8_74be_4760_a5fe_ac78c82cfe52,,yes,no,february,2017.0,,sin contacto previo
55.0,technician,married,university_degree,False,False,False,telephone,349,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2017-07-31,26.058,-102.059,fd488945_dcb1_4c93_ae06_2b2378db0bd0,no,no,no,july,2017.0,,sin contacto previo
38.0,services,married,high_school,unknown,True,False,telephone,337,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2018-10-04,39.699,-95.333,983b0a18_7d54_4900_bc06_ba7b30e17f49,,yes,no,october,2018.0,,sin contacto previo
55.0,management,married,unknown,unknown,True,False,telephone,272,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2017-09-05,27.091,-117.264,be6c8341_fb40_4158_8d62_81fb98648760,,yes,no,september,2017.0,,sin contacto previo
42.0,blue_collar,married,basic_9y,unknown,False,False,telephone,208,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2016-02-07,41.803,-100.479,f583f88c_58de_40db_bcae_b2b9105fa153,,no,no,february,2016.0,,sin contacto previo
50.0,blue_collar,married,basic_4y,unknown,True,False,telephone,193,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2018-08-19,39.627,-98.496,cc1029bd_87da_4de0_8735_a3b090df62c0,,yes,no,august,2018.0,,sin contacto previo
51.0,blue_collar,married,basic_4y,unknown,unknown,unknown,telephone,212,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2015-05-14,48.81,-79.382,cf01e33c_2eb7_4020_8c72_879d3489bfa1,,,,may,2015.0,,sin contacto previo
38.0,admin_,married,high_school,unknown,False,False,telephone,165,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2019-01-13,43.962,-121.032,e6382798_c0b1_4337_af1b_ee9196f5c831,,no,no,january,2019.0,,sin contacto previo
49.0,entrepreneur,married,university_degree,unknown,True,False,telephone,1042,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,yes,2016-11-23,32.461,-91.026,d3ea4624_cbe7_40bf_8324_cc3c763f0e80,,yes,no,november,2016.0,,sin contacto previo
38.0,technician,single,university_degree,False,False,True,telephone,20,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2016-09-10,32.004,-111.513,d652e74e_8e59_4eb0_ada7_512f3d11ea40,no,no,yes,september,2016.0,,sin contacto previo
31.0,admin_,divorced,high_school,False,False,False,telephone,246,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2017-06-18,33.276,-82.641,18060794_5ed8_44ab_8b30_ceb9cc3222fd,no,no,no,june,2017.0,,sin contacto previo
38.0,management,married,basic_6y,False,False,False,telephone,529,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2017-08-28,36.293,-104.523,360a3c07_d566_4079_9550_6c6c6422f5f2,no,no,no,august,2017.0,,sin contacto previo
39.0,admin_,married,university_degree,False,True,True,telephone,192,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2018-11-18,43.599,-75.453,1246ce73_1096_4b01_b971_0bffb7ca7fee,no,yes,yes,november,2018.0,,sin contacto previo
49.0,technician,married,basic_9y,False,False,False,telephone,1467,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,yes,2015-05-17,44.354,-83.771,01fe1411_bb08_4ae3_8252_0e7385580955,no,no,no,may,2015.0,,sin contacto previo
34.0,admin_,married,high_school,False,True,False,telephone,188,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2016-10-26,38.383,-87.624,1a7cb055_189b_4261_a521_bd11ec6ab304,no,yes,no,october,2016.0,,sin contacto previo
35.0,admin_,married,university_degree,False,True,False,telephone,180,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2016-08-27,40.103,-79.228,a068e668_ee92_47ab_94b3_2c6f0660c267,no,yes,no,august,2016.0,,sin contacto previo
38.0,unknown,married,unknown,unknown,True,False,telephone,48,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2017-09-30,46.083,-123.668,1d488b7c_d680_4210_87f4_caab6d9ee03f,,yes,no,september,2017.0,,sin contacto previo
60.0,admin_,married,unknown,unknown,False,True,telephone,213,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2019-02-23,45.97,-95.297,27c0a2c1_7538_4097_a0c8_501fbf55dfee,,no,yes,february,2019.0,,sin contacto previo
33.0,unemployed,married,basic_9y,False,False,False,telephone,545,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2018-12-03,39.664,-122.563,3e29229f_9ee7_455c_b623_63250793db56,no,no,no,december,2018.0,,sin contacto previo
42.0,blue_collar,married,basic_6y,False,False,True,telephone,583,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2017-09-20,27.672,-100.531,8e84714f_4768_41e6_bc2b_2dff581e12b8,no,no,yes,september,2017.0,,sin contacto previo
45.0,services,married,professional_course,False,True,False,telephone,221,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2015-08-17,35.966,-75.199,aa9a96e2_a1f0_48b9_bd12_0d082fc65f56,no,yes,no,august,2015.0,,sin contacto previo
42.0,management,married,university_degree,False,False,False,telephone,426,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2018-11-28,39.727,-101.195,9eada552_2e0f_4e25_bc52_86b419bcf3b8,no,no,no,november,2018.0,,sin contacto previo
53.0,admin_,divorced,university_degree,unknown,False,False,telephone,287,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2016-12-08,45.633,-122.143,3da2368a_8b67_4b7e_bf51_0499b71369dc,,no,no,december,2016.0,,sin contacto previo
37.0,technician,single,professional_course,False,False,False,telephone,197,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2016-05-19,44.314,-91.625,c96f9121_6f02_44bd_aa3c_4da573414177,no,no,no,may,2016.0,,sin contacto previo
44.0,blue_collar,married,basic_6y,False,False,False,telephone,257,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2018-07-29,38.534,-99.64,73dae94a_e882_4845_aa30_0aaff25d2a17,no,no,no,july,2018.0,,sin contacto previo
54.0,services,married,unknown,False,True,False,telephone,229,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2018-12-01,31.532,-88.105,7aa43513_2461_455c_9430_9afb22f3a22d,no,yes,no,december,2018.0,,sin contacto previo
49.0,blue_collar,married,basic_4y,False,False,False,telephone,55,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2017-12-21,31.619,-70.718,18b0c404_331a_4a68_90bc_0494a082f62d,no,no,no,december,2017.0,,sin contacto previo
54.0,services,married,unknown,False,False,False,telephone,400,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2015-12-22,33.409,-121.292,012204f4_fca9_4bcb_a64d_808135727728,no,no,no,december,2015.0,,sin contacto previo
52.0,admin_,divorced,university_degree,False,False,False,telephone,197,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2018-04-18,47.84,-114.833,33803ffa_fb03_4f0f_9f5c_3f2b9a28bc93,no,no,no,april,2018.0,,sin contacto previo
52.0,admin_,divorced,university_degree,False,False,False,telephone,190,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2015-08-26,42.761,-74.313,834fda51_1ba3_4290_8be6_b59479dfb43b,no,no,no,august,2015.0,,sin contacto previo
43.0,services,single,high_school,unknown,False,False,telephone,21,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2017-06-25,39.558,-107.838,4dfcd68a_ccd2_4388_812c_c243a4b60254,,no,no,june,2017.0,,sin contacto previo
